Topic,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09,2025-10-10
"N/A 

(Note: The review is a single word in Hindi that translates to ""excellent"" or ""wonderful"", so it doesn't contain any distinct issues, requests, or feedback points.)",0,0,0,1,0,0,0,0,0,0
Solution Provider,0,0,1,0,0,0,0,0,0,0
Order Rejection Issue,0,0,0,0,1,0,0,0,0,0
Frustrating Experience,0,0,1,0,1,0,0,1,0,0
Recommendation to Avoid,1,0,0,0,0,0,0,0,0,0
Subscription Upgrade Pressure,0,0,0,0,1,0,0,0,0,0
Offers,0,0,1,0,0,0,0,0,0,0
Ad,1,0,0,0,0,0,0,0,0,0
Missing Address Update,0,0,0,0,0,0,0,1,0,0
Poor Restaurant Response,0,1,0,0,0,0,0,0,0,0
Delayed Refund,0,3,0,1,2,0,1,0,0,0
Subscription Service Issue,0,0,0,0,1,0,0,0,0,0
Low Quantity,0,0,0,0,1,0,0,0,0,0
Delivery Executive Attitude,0,0,0,0,1,0,0,0,0,0
No Customer Choice,0,0,1,0,0,0,0,0,0,0
Incorrect Distance Display,0,0,0,0,1,0,0,0,0,0
Cheaters in Customer Care,1,0,0,0,0,0,0,0,0,0
Positive Emotion Expression,0,0,1,0,0,0,0,0,0,0
Hidden Charges,0,1,0,0,0,0,0,0,0,0
No Customer Support,3,3,1,0,1,1,0,1,0,0
Raining Delay,0,1,0,0,0,0,0,0,0,0
First Experience,0,0,0,1,0,0,0,0,0,0
No Return Option,0,0,0,0,0,0,1,0,0,0
Limited Dining Options Available,0,0,0,0,1,0,0,0,0,0
Bad Exchange Process,0,0,0,1,0,0,0,0,0,0
Missing Delivery,0,0,0,0,0,0,1,0,1,0
Inadequate Service,0,0,0,0,0,0,1,0,0,0
"N/A 

There is not enough information in the review to identify distinct issues, requests, or feedback points. The review only expresses a positive sentiment about the app's convenience.",1,0,0,0,0,0,0,0,0,0
Overcharging,1,1,0,0,0,0,0,0,0,0
App Help Centre,0,0,0,0,0,0,0,1,0,0
Swiggy Wallet Issue,0,1,0,0,0,0,0,0,0,0
Excessive Tax Charges,0,0,0,1,0,0,0,0,0,0
Compatibility,0,0,0,0,1,0,0,0,0,0
Rain Charges,0,0,0,1,0,0,0,0,0,0
Incorrect Order Cancellation.,0,0,0,0,1,0,0,0,0,0
Misleading Updates,0,0,0,0,0,0,1,0,0,0
Restaurant Unavailability,0,0,1,0,0,0,0,0,0,0
Poor Logistics Plan,0,0,0,0,0,0,0,1,0,0
Rating System,0,0,1,0,0,0,0,0,0,0
Fraudulent Service,0,0,0,0,1,0,0,0,0,0
Inconsistent Store Hours,0,0,0,0,0,0,1,0,0,0
Delivery Guy Ran Away,0,0,0,0,0,0,0,1,0,0
"N/A 

There is no clear issues, requests, or feedback points in the review. It appears to be a positive statement with enthusiastic language but lacks specific content related to the product or service being reviewed.",0,0,0,1,0,0,0,0,0,0
Fake Reviews,0,1,0,0,0,0,0,0,0,0
Payment Details Verification,0,0,0,0,0,1,0,0,0,0
Annoying Clickbait Tactics,0,0,0,1,0,0,0,0,0,0
Unfair Order Policy,0,1,0,0,0,0,0,0,0,0
Scams,0,0,0,0,0,0,1,0,0,0
"N/A 

There is no mention of any issues, requests, or feedback points in the review. It's a positive statement praising the delivery partner.",0,0,0,0,0,0,0,1,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Delivery Person Absent",0,0,0,0,0,0,0,1,0,0
Order Not Received,2,1,0,2,5,1,0,0,2,0
Order Issues,2,3,0,1,1,1,0,2,0,0
Unsatisfactory User Experience,1,0,0,0,0,0,1,0,0,0
Perishable Item Issues,0,0,1,0,0,0,0,0,0,0
Disappointing Experience.,0,1,0,0,2,0,0,0,0,0
Unfair Taxation,0,0,0,0,0,0,0,0,1,0
Missing Coupon,0,0,0,0,0,0,1,0,0,0
Member Privileges Inadequate,0,0,0,0,1,0,0,0,0,0
No Refunds,0,0,0,1,0,0,1,0,0,0
Unprofessional Delivery Agents,0,0,0,0,0,1,0,1,0,0
Lost Order,1,1,0,0,1,0,0,0,0,0
Unresponsive Delivery Boy,0,0,0,0,0,0,0,0,1,0
API Improvement Needed,0,1,0,0,0,0,0,0,0,0
Refund Denial,0,0,0,1,0,3,0,0,1,1
High Delivery Costs,0,0,0,0,2,0,1,0,0,0
Error with WiFi Connection,0,0,0,1,0,0,0,0,0,0
Money Scam,0,1,0,0,0,0,0,0,0,0
Delivery Partner Unavailable,0,0,0,0,0,0,1,0,0,0
Cancellation Charges,1,2,0,0,0,0,0,0,1,1
"Here are the distinct issues, requests, or feedback points extracted from the review:

* Badiya Offer",0,0,0,0,0,0,1,0,0,0
Non-delivery compensation,0,0,0,0,0,0,1,0,0,0
No Compensation Offered,1,0,0,0,0,0,0,0,0,0
"N/A 

(This review only contains emojis and does not contain any text.)",0,0,0,0,0,0,0,1,0,0
"N/A 

There is not enough information in the review to identify specific issues, requests, or feedback points. The review only contains a general statement of satisfaction.",0,0,0,0,0,0,1,0,0,0
Food Delivery Platform Comparison,0,0,0,0,1,0,0,0,0,0
Instant Delivery,0,0,0,0,0,0,0,1,0,0
Poor Food Delivery System,0,0,0,0,1,0,0,0,0,0
Unacceptable Product Handling,0,0,0,0,0,0,0,1,0,0
Ineffective IVR System,0,0,0,0,0,0,0,0,0,1
App Organization Suggestion,1,0,0,0,0,0,0,0,0,0
Bad Experience Ever,0,0,0,0,0,0,1,0,0,0
False Information Provided,0,0,0,1,0,0,0,0,0,0
Trust Issues,0,0,0,0,0,2,0,0,0,0
Cart Weight Limit Issue,0,0,0,0,0,0,1,0,0,0
"N/A 

There is not enough information in the review to extract any key topics.",0,0,1,0,0,0,0,0,2,0
Unhelpful App/Restaurant Staff,1,0,0,0,0,0,0,0,0,0
"N/A 

The review is in Hindi and the text only contains two words that don't provide any clear information about issues, requests, or feedback points.",0,0,0,0,0,0,1,0,0,0
"The review is in Hindi. Based on the text, I can extract the following distinct topics:

Price",0,1,0,0,0,0,0,0,0,0
Harassment Experience,0,1,0,0,0,0,0,0,0,0
Misrepresented Capacity,0,0,0,1,0,0,0,0,0,0
Food Delivery Experience,0,0,1,0,0,0,0,1,0,0
Product,0,0,1,0,0,0,0,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Incorrect Coupon Debit",0,0,0,0,0,0,0,1,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Delivery Not Received",0,0,0,0,1,0,0,0,0,0
Account Deactivation Request,0,0,0,0,0,0,1,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Long Wait Times",0,0,0,0,0,0,0,0,1,0
Unacceptable Service,0,0,0,1,0,0,0,0,0,0
"N/A 

(This review is too short and doesn't contain any specific issues or feedback points.)",0,0,0,0,1,0,0,0,0,0
Delivery Partner Faults,1,0,0,0,0,0,1,0,0,0
Kupan Code Issue,0,0,0,0,0,0,0,0,1,0
"I couldn't find any clear issues, requests, or feedback points in the review. The text appears to be a phrase in a language other than English.

 Response: N/A",0,0,0,0,0,1,0,0,0,0
Misleading Experience,0,0,0,0,0,1,0,0,0,0
Worst Customer Support,0,0,1,0,0,0,0,0,0,0
No Contact Information.,0,0,0,0,0,1,0,0,0,0
App Sucks,0,0,0,0,0,1,0,0,0,0
Store Location Preference,0,0,0,0,0,0,0,1,0,0
"N/A 

There are no clear topics or issues mentioned in the review. The text appears to be a collection of emoticons and emojis, rather than a written review with specific feedback or complaints.",1,0,0,0,0,0,0,0,0,0
Feedback Evaluation Problems,0,0,0,0,0,0,1,0,0,0
Food Gets Cold,0,1,0,0,0,0,0,0,0,0
Payment Not Returned,0,0,0,0,1,0,0,0,0,0
Inconsiderate Restaurant Owners,0,1,0,0,0,0,0,0,0,0
Mismatched Bills,0,0,1,0,0,0,0,0,0,0
Complaint Handling,0,0,0,0,0,1,0,0,0,0
"N/A 

There is no text to extract from. Please provide the review for me to analyze.",1,0,0,0,0,0,0,0,0,0
Offer Reduction Issue,0,1,0,0,0,0,0,0,0,0
Unfair Treatment by Support Team,0,0,0,0,0,1,0,0,0,0
Inconsistent Service Times,1,0,0,0,0,0,0,0,0,0
Public Review Section,0,0,0,0,1,0,0,0,0,0
Missing Online Review,1,0,0,0,0,0,0,0,0,0
Clarity of Instructions,1,0,0,0,0,0,0,0,0,0
Closed Issue Ticket,0,0,0,0,0,1,0,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Refund Not Provided",0,0,0,0,0,0,0,0,1,0
Inaccurate Order Timer,0,0,0,0,0,0,0,1,0,0
Scam on Wednesday Offers,0,0,0,0,0,0,0,1,0,0
Inadequate Compensation for Customers.,0,0,0,0,0,0,1,0,0,0
Lack of Promotions,0,0,0,0,2,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

App is a Scam",0,0,0,0,0,1,0,0,0,0
"Here are the distinct issues, requests, and feedback points extracted from the review:

Incorrect Stock Listings",0,0,1,0,0,0,0,0,0,0
Unsatisfactory Responses,1,0,0,0,0,0,0,0,0,0
Cold Food Delivery,0,0,0,0,0,0,0,1,0,0
Unintuitive Close Button Size,0,0,0,1,0,0,0,0,0,0
Quality of Offers,0,0,1,0,0,0,0,0,0,0
Poor Value,0,0,0,0,0,0,0,1,0,0
Bug Fix Request,1,0,0,0,0,0,0,0,0,0
No Refund Provided,1,1,0,0,0,1,1,2,0,0
GST on Rain Fee,1,0,0,0,0,0,0,0,0,0
Lack of Funds,0,0,0,0,1,0,0,0,0,0
Extra Benefits Needed,0,0,0,0,1,0,0,0,0,0
Conflicting Order Status Updates,0,1,0,0,0,0,0,0,0,0
Technical Glitches,0,0,0,0,0,1,0,1,0,0
"Here are the distinct issues and feedback points extracted from the review:

Delays",0,0,0,0,0,1,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

नियम तोड़ने वाली बड़ी कंपनियां",0,1,0,0,0,0,0,0,0,0
Forced Membership Sales,0,1,0,0,0,0,0,0,0,0
Expiring Products,0,0,0,0,0,0,0,1,0,0
Inconvenient Experience,0,0,0,0,1,0,0,0,0,0
"I think I have the review in Hindi! 

Here are the distinct issues, requests, or feedback points:

Price Too High",0,0,0,0,0,0,0,0,1,0
Unfair Penalty,0,0,0,0,1,0,0,0,0,0
Slow Resolution Process,1,0,0,0,0,0,0,0,0,0
Order Delivery Delay,0,1,1,0,0,0,0,1,1,0
"Here are the distinct issues and feedback points extracted from the review:

Payment Taken Immediately",0,0,0,0,0,1,0,0,0,0
Expired Product,0,0,0,0,1,0,0,0,0,0
Account Access Issue,0,0,1,0,0,0,0,0,0,0
Losing Genuine Customers.,0,0,0,0,0,0,0,1,0,0
Poor recommendation.,0,0,0,0,0,0,0,0,1,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Unavailability of Product Reviews",0,0,0,1,0,0,0,0,0,0
No Offer,0,1,0,0,0,0,0,0,0,0
Poor business ethics.,0,0,0,0,1,0,0,0,0,0
Free Home Delivery,0,0,0,0,0,0,0,1,0,0
Harassment by BPO Staff,0,0,0,0,0,0,0,0,1,0
Vehicle Problem,0,0,0,0,0,0,1,0,0,0
"N/A 

(This review appears to be a casual comment in Hindi and does not contain any clear issues, requests, or feedback points.)",0,1,0,0,0,0,0,0,0,0
"I'll do my best to extract the key topics from the review. However, please note that the text is in Hindi and may require some interpretation.

Based on the review, I've identified the following distinct issues:

Order Cancellation",1,0,0,0,0,0,0,0,0,0
Coupon Availability,0,1,0,0,0,0,0,0,0,0
Order Modification Policy,0,0,0,0,1,0,0,0,0,0
Food Handling Practices,0,1,0,0,0,0,0,0,0,0
High Service Rates,0,1,0,0,0,0,0,0,0,0
"N/A 

There is no mention of specific issues or feedback points in the review. It appears to be a general positive statement.",0,0,0,0,1,0,0,0,0,0
Faulty Swigg Light Issue,0,0,0,0,0,0,0,1,0,0
Scam Products,0,0,0,0,0,0,0,0,1,0
Unhelpful Responses,0,0,0,0,0,1,0,0,0,0
Inaccurate Map,0,0,0,0,0,0,0,1,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Handling Charges",0,0,0,0,0,1,0,0,0,0
"N/A 

There is not enough information in the review to extract distinct issues, requests, or feedback points.",0,1,1,0,0,0,0,0,0,0
Incorrect Branding,0,0,0,0,0,1,0,0,0,0
Price too high,0,0,0,0,0,1,0,0,0,0
Restaurant Navigation,0,1,0,0,0,0,0,0,0,0
"N/A 

(This review is in Hindi and appears to be a request or command rather than feedback or criticism. It translates to ""Deliver my order from Rohtak on Swiggy"")",0,0,0,0,0,0,0,1,0,0
Unsupportive Team,0,4,1,0,0,0,1,1,0,0
Traveler's Problem,0,0,0,0,0,0,0,1,0,0
Poor Business Practices,0,0,1,0,0,0,0,0,0,0
Poor App Experience,1,2,2,1,0,0,0,2,2,0
One App Experience,0,0,1,0,0,2,0,0,0,0
Inconsistent Pricing,0,0,0,0,1,0,0,0,0,0
Unhealthy Food Options Available,0,0,0,0,0,1,0,0,0,0
Waste of Money,0,0,2,0,0,0,0,0,0,0
Unresponsive Call Center,0,0,0,0,0,0,0,0,1,0
Restaurant Ratings Affected,0,1,0,0,0,0,0,0,0,0
Late Payment Fee Issue,0,1,0,0,0,0,0,0,0,0
Test Results Good,0,0,0,0,1,0,0,0,0,0
Customer Frustration,0,0,0,0,0,0,0,1,0,0
Order Process,0,0,0,0,0,0,0,0,1,0
Mistake Charges,0,0,0,0,0,0,1,0,0,0
"N/A 

There is not enough text to extract any meaningful information. The review appears to be a single word or name (""unaij khan"") without any context or description.",0,0,0,0,0,0,0,0,1,0
Vendor Coordination Problems,0,0,1,0,0,0,0,0,0,0
Availability in Kolkata,1,0,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Rotten Chicken",0,0,0,1,0,0,0,0,0,0
Free Cash Issue,0,0,0,0,0,0,1,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Delivery Associate Behavior",0,0,0,0,0,0,0,1,0,0
Food Not Prepared,0,1,0,0,0,0,0,0,0,0
Menu Clarity,0,1,0,0,0,0,0,0,0,0
Lack of Math Understanding,0,0,0,0,1,0,0,0,0,0
Unfulfilled Food Order,1,0,0,0,0,0,0,0,0,0
Higher Satisfaction,0,0,0,0,1,0,0,0,0,0
Missing Warranty Invoice,0,0,0,0,0,0,1,0,0,0
Incorrect Price Reduction,0,0,0,0,0,0,0,1,0,0
Unfair Treatment,0,0,0,1,0,1,0,0,0,0
Lack of Trust,0,0,0,0,1,0,0,0,0,0
Incorrect Auto-Fill Functionality,0,0,0,0,0,0,0,1,0,0
"N/A 

There is not enough information in the review to identify distinct issues, requests, or feedback points. The review appears to be a positive statement rather than a critique or suggestion.",0,0,1,0,0,0,0,0,0,0
Lack of Acceptance,0,0,0,1,0,0,0,0,0,0
Poor Agent Performance,0,0,0,0,0,0,0,1,0,0
No Refund,0,1,0,0,1,1,0,0,1,0
Health Risks,0,0,1,0,0,0,0,0,0,0
Swiggy Downfall,0,0,0,0,0,0,0,1,0,0
Legal Action Threatened,0,0,0,1,0,1,0,0,0,0
Ineffective Feedback Mechanism,0,1,0,0,0,0,0,0,0,0
Refund Not Processed,3,1,1,1,3,2,0,1,0,0
Uncredited Payment,0,0,0,0,1,0,0,0,0,0
Disrespect for Customer Time,0,0,0,0,0,0,0,1,0,0
Impersonal Experience,0,0,1,0,0,0,0,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Refund Issue",0,0,0,1,0,0,0,0,0,0
Threatening Delivery Driver,0,1,0,0,0,0,0,0,0,0
Restaurant Scam,0,0,1,0,0,0,0,0,0,0
Inefficient Refund Process,0,0,0,0,0,0,1,0,0,0
Cost of the App,0,0,1,0,0,0,0,0,0,0
Incorrect Store Selection,0,0,0,0,0,0,0,1,0,0
App for Late Night Hunger,0,0,0,0,0,0,0,0,1,0
Human Agent Access Denied,0,1,0,0,0,0,0,0,0,0
Unreliable Recommendation,0,0,0,0,1,0,0,0,0,0
Location Not Working,0,0,0,1,0,0,0,0,0,0
Customer Cheating Practices,0,0,0,0,1,1,0,0,0,0
Expired Items Received,0,1,0,0,0,0,0,0,0,0
Refund Speed,0,1,0,0,0,0,0,0,0,0
Quantity,0,0,1,0,0,0,0,0,0,0
Unfair Treatment of Customers,0,0,1,0,0,0,0,0,0,0
Unreliable Restaurant Information,0,0,0,0,0,0,1,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Packaging Charges",0,0,0,0,0,0,0,1,0,0
False Apology,0,0,1,0,0,0,0,0,0,0
Unfair Delivery Partner,0,0,0,0,1,0,0,0,0,0
"I think I see what's going on here. The review is in Hindi, and it appears to be a single word: ""फास्ट दिलवर"" (Fast delivery). There are no distinct issues, requests, or feedback points mentioned.

So, the response is:

N/A",0,0,0,0,0,0,1,0,0,0
"N/A 

(This review appears to be in Hindi and doesn't contain any specific issues or feedback points that can be extracted as distinct topics.)",0,0,0,0,0,0,0,1,0,0
Double Payment Issue,0,0,1,0,0,0,0,0,0,0
Delivery Boy Availability,0,0,0,0,0,0,1,0,0,0
"Here are the distinct issues and feedback points extracted from the review:

Packing Issues",0,0,0,0,0,0,0,1,0,0
"N/A 

There is not enough information in the review to identify distinct issues, requests, or feedback points. The text appears to be a brief expression of praise rather than a review with specific topics.",0,0,0,0,0,0,0,1,0,0
Order Not Fulfilled,0,2,0,1,0,0,0,1,0,0
Service Outage,0,0,0,0,0,0,0,0,1,0
Unfair Charges,1,1,1,0,1,0,1,1,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Cold and Disgusting Food",0,0,1,0,0,0,0,0,0,0
Rotten Vegetables,0,0,0,0,1,0,0,0,0,0
Delivery Boy Performance,0,0,0,0,0,0,1,0,0,0
Prompt Refund Request,0,0,0,0,0,0,0,0,1,0
On-time Service,0,0,0,0,0,0,0,0,1,0
App vs Google Map Discrepancy,0,0,0,0,0,0,1,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Cancellation Fees",0,0,0,0,0,0,0,1,0,0
Slow Performance,1,0,0,0,0,0,0,0,0,0
Food Not Delivered on Train,0,0,0,0,0,0,0,1,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Poor Customer Service Response",1,0,0,0,0,0,0,0,0,0
Rider Pickup Failure,0,0,1,0,0,0,0,0,0,0
"N/A 

(This review is too short to extract any meaningful information)",0,0,0,0,1,0,0,0,0,0
"N/A 

(This review is very brief and doesn't contain any specific issues or feedback points.)",0,0,1,0,2,0,1,0,0,0
Fraudulent Company Practices,0,2,0,0,0,0,0,0,0,0
Invalid Coupon Provided,0,0,0,0,1,0,0,0,0,0
High Price,0,0,1,0,0,0,0,0,0,0
Order Resolution,0,0,0,0,0,1,0,0,0,0
Unreliable restaurant handling,0,1,0,0,0,0,0,0,0,0
Food Not Delivered,1,0,0,0,0,0,0,0,0,0
Harassment Tactics Used,0,0,0,0,1,0,0,0,0,0
Fake Rating Issue,1,0,0,0,0,0,0,0,0,0
Frustrating Order Cancellation Process,0,1,0,0,0,0,0,0,0,0
Insect Found on Food,0,0,0,0,0,1,0,0,0,0
"N/A 

There is not enough text to extract any meaningful information.",1,0,0,0,0,0,0,0,0,0
"N/A 

There is no mention of any issues, requests, or feedback points in the review. It simply states that it was an ""Excellent Experience"", which is a positive sentiment but does not provide specific topics to extract.",0,0,0,0,0,0,0,1,0,0
Unfair Refund Policy,3,4,2,1,3,2,1,3,2,0
Looping Response Problem,0,1,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Refund Denial",0,0,0,0,0,1,0,0,0,0
Bad Service,0,1,1,1,3,1,0,0,1,0
Waste of Time.,0,0,0,0,0,0,0,0,1,0
Good Offers Available,0,0,1,0,0,0,0,0,0,0
Unhygienic Product Contamination,0,0,0,0,1,0,0,0,0,0
Stale Food,0,0,1,0,0,0,0,0,0,0
Delivery,0,0,0,0,0,0,0,0,1,0
Burnt Food,0,0,0,0,0,0,1,0,0,0
Fraudulent Refund Policy,0,0,0,0,1,0,0,0,0,0
Cheating Customers,0,2,0,0,1,0,0,0,0,0
Automatic Reply Issue.,0,0,0,0,0,0,0,1,0,0
"N/A 

(Note: The review only contains emojis and does not contain any text that can be analyzed for distinct issues, requests, or feedback points.)",0,0,0,1,0,0,0,0,0,0
"I couldn't extract any specific issues or feedback points from the review. The text appears to be in Hindi and translates to ""My order is late"" but it's a very general statement without any further details.

However, if I had to break it down into a topic:

Order Delivery Issue",0,0,0,0,0,0,0,0,1,0
Cancel Order Option Removal,1,0,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Poor Delivery Experience",0,0,0,0,1,0,0,0,0,0
Rider Misconduct,0,1,0,0,0,0,0,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Overcharging",0,0,1,0,0,0,0,0,0,0
Swiggy Complaint,0,0,0,0,0,0,1,0,0,0
Offers Availability,0,0,0,1,0,0,0,0,0,0
No Good Discount,0,0,0,0,0,0,1,0,0,0
Waste of Time,0,0,0,0,1,0,0,0,0,0
Repeated Problem Occurrence,0,0,0,0,0,0,0,1,0,0
Bad Quality Product Received,0,0,0,0,1,0,0,0,0,0
Lack of Courtesies,0,0,0,0,0,0,0,0,1,0
Missing Refund Option,0,0,0,0,0,0,0,1,0,0
"N/A 

The provided review appears to be nonsensical or gibberish. It does not contain any coherent text that can be analyzed for distinct issues, requests, or feedback points.",0,0,0,0,0,0,1,0,0,0
"Here are the distinct issues, requests, or feedback points extracted from the review:

Hidden Charges",0,0,1,0,0,0,0,0,0,0
Insect in Food,0,0,0,0,0,1,0,0,0,0
Bolt malfunction,1,0,0,0,0,0,0,0,0,0
Rating Manipulation Request,0,0,0,0,0,0,0,1,0,0
Unhelpful Resolution Offers,0,0,0,0,0,0,0,0,0,1
Unacceptable Charges,0,0,0,0,1,0,0,0,0,0
Useless AI Support.,1,0,0,0,0,0,0,0,0,0
Money Grabbing App,1,0,0,0,0,0,0,0,0,0
"N/A 

There is not enough information in the review to identify any specific issues or feedback points.",0,0,0,0,0,0,1,0,0,0
'Quality',2,2,4,2,4,0,2,5,3,1
'Prices',1,5,1,2,2,3,1,0,3,1
'Unnecessary Wait Time',3,2,2,0,2,3,1,2,0,0
Incorrect Order,1,1,0,2,2,2,1,1,1,1
Refund Policy,3,0,2,0,0,3,1,0,0,0
"""Cancellation Fee Charges""",1,0,0,0,0,0,0,1,0,0
"""Scam App"" 

The new topic ""Scam App"" matches semantically with one of the canonical candidates.",1,1,0,0,0,0,0,0,0,0
Order Cancellation Policy,1,1,0,0,0,1,0,0,0,0
Delivery Issue,2,4,2,0,2,5,0,2,2,2
Customer Service Issues,1,2,0,0,1,0,0,1,0,0
'Poor Customer Service',15,19,19,15,25,20,19,22,14,3
'Poor Food Quality',2,3,1,0,1,3,0,1,0,0
Invalid Coupon,1,0,0,0,0,0,0,0,0,0
Refund Process,1,0,0,1,0,0,0,0,0,0
Money Refund,1,0,0,0,0,0,0,0,0,0
Fraudulent Practices,1,0,0,1,0,0,0,0,0,0
'Poor Customer Satisfaction',3,5,0,0,3,1,2,3,3,0
Poor Customer Care,1,0,0,0,0,4,0,0,1,0
"""NEW_TOPIC""",1,1,1,0,0,0,1,1,1,0
'Unreliable Restaurant Information',1,0,0,1,0,0,0,0,0,0
App Delay Issues,1,0,0,0,0,0,0,0,0,0
'Unreliable Order Handling',1,0,0,0,0,0,0,0,0,0
Customer Support Issues,1,0,0,0,0,1,0,0,0,0
'Lack of Accountability',3,2,1,0,1,0,2,0,1,0
'Bad Customer Service',6,9,6,6,15,9,4,9,9,1
"""Delivery Service Issues"" is semantically identical to ""Delivery Service quality"". 

Canonical Topic: Delivery service quality",1,0,0,0,0,0,0,0,0,0
'Unexpected Price Increase',1,0,0,0,0,0,0,0,0,0
'Bad Quality Food',2,0,2,2,2,1,2,1,2,0
"""Order Cancellation Issue""",1,1,0,0,0,0,0,1,0,0
'Long Wait for Food',1,0,3,0,2,0,2,0,1,0
Incorrect Billing Amount,1,0,0,0,0,0,0,1,0,0
'Experience',1,0,0,1,0,2,0,2,0,0
'Lack of Support',1,1,0,1,0,1,0,0,1,0
"""Order Cancellation Issue"" 

(Note: The exact phrase is present in the list of canonical candidates)",3,1,3,5,1,2,2,6,3,0
"""Ineffective Issue Resolution.""",1,0,0,0,0,0,0,0,0,0
'Poor Communication',1,0,0,0,0,0,0,0,1,0
Incorrect Order Handling,1,0,0,0,0,0,0,0,0,0
'Unresponsiveness problems',2,1,0,0,5,0,2,2,1,1
Ineffective Resolution Process,1,0,0,0,0,0,0,0,0,0
Delivery Partner Issue,1,0,0,0,0,0,1,1,0,0
'Lack of Updates',1,0,0,0,0,0,0,0,0,0
'Food Safety Concerns',1,0,0,0,0,0,0,0,0,0
'Annoying AI Chat Experience',1,0,0,1,0,0,0,0,0,0
App Service Issues,1,0,0,0,0,0,0,0,0,0
"The new topic ""Delivery Time Issue"" matches the canonical candidate ""Delivery issue"". 

Canonical Topic: Delivery issue",1,0,0,0,0,0,0,0,0,0
'Unhelpful Customer Care',2,1,0,0,1,0,2,2,0,0
Ineffective Complaint Handling,1,1,0,0,0,0,0,0,0,0
Delivery Time,2,1,4,3,0,2,0,2,3,0
Cancellation Policy,1,0,1,0,1,0,0,1,1,0
"""Inadequate Communication""",1,0,0,0,0,0,0,0,0,0
"""Long Wait Times""",1,0,0,0,0,0,0,0,0,0
Fraudulent App,1,0,0,0,0,0,0,0,0,0
"""Order Fulfillment Issues"" 

The new topic is semantically identical to ""Order Fulfillment Issues"".",1,0,0,0,0,0,0,0,0,0
Coupon Policy Problems,1,0,0,0,0,0,0,0,0,0
Rain Fee Charges,1,0,0,1,0,0,0,0,0,0
Return and Refund Policy,1,0,0,0,0,0,0,0,0,0
'Expired Product',1,0,0,0,0,0,0,0,0,0
'Poor App Experience',1,0,0,1,0,1,0,1,0,0
Late Order Fulfillment,1,0,0,0,0,0,0,0,0,0
'Incorrect Order Cancellation',1,0,0,0,0,0,0,1,0,0
"Unreliable Order Fulfillment 

The new topic is semantically identical to the canonical topic 'Unreliable Order Fulfillment'.",1,1,0,0,0,0,0,0,1,0
Customer Support,1,2,2,1,0,1,1,0,3,0
"""No Returns Allowed"" is semantically identical to ""No Refund System"". 

Canonical Topic: No Refund System",1,0,0,0,0,0,0,0,0,0
Ineffective Communication.,1,0,0,0,0,0,0,0,0,0
Poor Service,1,2,4,0,0,5,0,0,1,0
'Late Delivery',1,1,1,0,0,0,0,0,0,0
'Late Orders',1,1,1,0,0,0,0,0,0,0
Worst Customer Service,1,0,0,0,0,0,0,1,1,0
Poor Delivery Partner,1,0,1,0,0,0,0,0,0,0
Ineffective Chatbot Support,1,0,0,0,0,0,0,0,0,0
Order Cancellation Issues,1,2,0,0,2,3,3,0,2,0
'Uselessness of App',1,0,0,0,0,0,0,0,0,0
'Product failure',1,0,0,0,0,0,0,0,0,0
Poor Service Quality,1,1,0,0,1,0,3,1,1,0
Delivery Service Quality,0,1,0,2,0,1,1,2,1,0
Payment Not Processed,0,1,0,0,0,0,0,0,0,0
'App Functionality Problems',0,1,0,0,1,0,0,0,1,0
'Unfair Business Practices',0,1,0,0,0,0,0,0,1,0
'Return/Refund Issues',0,1,0,1,2,0,0,0,1,0
Unreliable Order Status,0,1,0,0,0,0,0,0,0,0
"""Here are the distinct issues and feedback points extracted from the review:\n\nDelivery Partner Issues""",0,1,0,0,0,0,1,0,0,0
Late Order Pickup,0,1,0,0,0,0,0,0,0,0
Unfair Platform Fees,0,1,0,0,0,0,0,0,0,0
Misleading Practices,0,1,0,0,0,0,0,0,0,0
Inconsistent Delivery Times,0,1,0,0,0,0,0,0,0,0
Order Cancellation,0,2,2,2,1,2,0,1,1,0
